t,h10,h18
0,87869.165,101583.28333333333
1,87824.045,101367.83333333333
2,87901.275,101266.08333333333
3,87880.345,101226.86333333333
4,87953.295,101211.05333333333
5,87991.205,101208.38333333333
6,87994.505,101277.51333333332
7,88031.535,101319.67333333332
8,88122.835,101361.78333333333
9,88158.705,101383.85333333333
10,88125.595,101305.66333333333
11,88108.075,101325.99333333333
12,88241.295,101288.45333333332
13,88228.335,101284.77333333333
14,88151.375,101299.40333333334
15,88139.125,101338.05333333333
16,88000.165,101415.56333333332
17,87880.645,101531.57333333333
18,87749.695,101592.27333333333
19,87670.755,101574.19333333333
20,87701.275,101570.55333333333
21,87621.815,101523.13333333333
22,87639.095,101608.29333333333
23,87671.765,101655.32333333333
24,87709.345,101704.97333333333
25,87813.085,101732.60333333333
26,87911.165,101746.80333333333
27,88037.045,101797.62333333332
28,87945.535,101826.49333333333
29,87984.005,101761.84333333332
30,88031.385,101750.78333333333
31,88052.625,101661.75333333333
32,87992.325,101643.36333333333
33,88077.645,101681.16333333333
34,88064.175,101716.38333333333
35,88047.045,101729.85333333333
36,87991.125,101648.89333333333
37,87871.425,101718.35333333333
38,87846.345,101717.37333333332
39,87930.845,101740.73333333332
40,87971.825,101727.58333333333
41,87892.365,101711.23333333332
42,87834.745,101695.35333333333
43,87831.585,101662.58333333333
44,87867.975,101644.58333333333
45,87914.985,101733.90333333334
46,87938.025,101758.27333333333
47,87827.415,101727.81333333332
48,87856.165,101610.66333333333
49,87827.925,101449.76333333332
50,87941.445,101499.03333333333
51,87929.685,101446.63333333333
52,87865.025,101427.05333333333
53,87793.855,101552.97333333333
54,87843.505,101660.53333333333
55,87974.895,101671.78333333333
56,87905.015,101664.40333333334
57,87835.685,101693.53333333333
58,87872.035,101679.90333333334
59,87924.575,101657.48333333332
60,87933.505,101712.68333333333
61,87794.605,101703.03333333333
62,87750.155,101716.32333333333
63,87766.595,101641.13333333333
64,87784.925,101673.84333333332
65,87730.255,101689.33333333333
66,87750.865,101702.41333333333
67,87798.415,101704.23333333332
68,87867.815,101646.97333333333
69,87872.775,101636.16333333333
70,87914.765,101589.94333333333
71,87897.675,101602.44333333333
72,87852.515,101588.90333333334
73,87801.885,101638.72333333333
74,87887.695,101631.06333333332
75,87846.935,101503.00333333333
76,87837.725,101538.84333333332
77,87774.725,101518.72333333333
78,87748.035,101668.96333333333
79,87782.335,101645.37333333332
80,87688.535,101648.11333333333
81,87567.845,101538.20333333332
82,87643.115,101676.03333333333
83,87732.405,101911.29333333333
84,87901.445,101822.21333333333
85,87951.745,101739.90333333334
86,87997.795,101688.58333333333
87,87924.325,101684.46333333333
88,87977.855,101632.90333333334
89,87928.605,101642.94333333333
90,87956.215,101670.20333333332
91,87905.405,101826.97333333333
92,87862.555,101801.39333333333
93,87851.625,101751.91333333333
94,87912.055,101701.91333333333
95,88014.705,101587.53333333333
96,88080.965,101606.99333333333
97,87987.625,101554.84333333332
98,88039.275,101513.98333333332
99,88073.325,101513.62333333332
100,88044.325,101692.84333333332
101,87984.845,101725.56333333332
102,88045.355,101759.67333333332
103,88105.565,101789.53333333333
104,88018.155,101757.28333333333
105,87974.265,101668.68333333333
106,87948.305,101689.66333333333
107,87914.345,101928.09333333332
108,87865.435,101982.98333333332
109,87822.445,102018.62333333332
110,87740.405,102087.05333333333
111,87693.675,101997.10333333333
112,87825.705,101927.85333333333
113,87900.165,101783.24333333333
114,87900.835,101738.28333333333
115,87858.175,101683.75333333333
116,87814.735,101673.02333333333
117,87738.505,101707.40333333334
118,87725.255,101699.45333333332
119,87711.965,101663.30333333333
120,87773.315,101600.70333333332
121,87834.335,101593.13333333333
122,87822.085,101634.75333333333
123,87939.775,101712.65333333334
124,87959.215,101745.71333333333
125,88046.995,101658.82333333333
126,88116.305,101649.29333333333
127,88127.875,101524.74333333333
128,88191.195,101576.85333333333
129,88176.515,101558.98333333332
130,88163.905,101555.78333333333
131,88140.175,101632.31333333332
132,88160.445,101733.58333333333
133,88113.345,101757.99333333333
134,88140.865,101847.39333333333
135,88186.005,101808.84333333332
136,88155.945,101776.70333333332
137,88185.045,101817.19333333333
138,88167.465,101854.12333333332
139,88136.595,101835.16333333333
140,88106.245,101825.57333333333
141,88019.795,101831.75333333333
142,88018.475,101898.42333333332
143,88121.325,101888.83333333333
144,88135.395,101874.50333333333
145,88087.525,101940.04333333333
146,88038.315,101899.15333333334
