datetime_beginning_utc,datetime_beginning_ept,area,ace_mw
2/2/2022 11:00:05 PM,2/2/2022 6:00:05 PM,PJM,710.460000
2/2/2022 11:00:20 PM,2/2/2022 6:00:20 PM,PJM,875.960000
2/2/2022 11:00:35 PM,2/2/2022 6:00:35 PM,PJM,938.030000
2/2/2022 11:00:50 PM,2/2/2022 6:00:50 PM,PJM,1006.060000
2/2/2022 11:01:05 PM,2/2/2022 6:01:05 PM,PJM,955.930000
2/2/2022 11:01:20 PM,2/2/2022 6:01:20 PM,PJM,962.260000
2/2/2022 11:01:35 PM,2/2/2022 6:01:35 PM,PJM,915.270000
2/2/2022 11:01:50 PM,2/2/2022 6:01:50 PM,PJM,985.490000
2/2/2022 11:02:05 PM,2/2/2022 6:02:05 PM,PJM,952.290000
2/2/2022 11:02:20 PM,2/2/2022 6:02:20 PM,PJM,821.920000
2/2/2022 11:02:35 PM,2/2/2022 6:02:35 PM,PJM,757.870000
2/2/2022 11:02:50 PM,2/2/2022 6:02:50 PM,PJM,775.710000
2/2/2022 11:03:05 PM,2/2/2022 6:03:05 PM,PJM,800.990000
2/2/2022 11:03:20 PM,2/2/2022 6:03:20 PM,PJM,797.730000
2/2/2022 11:03:35 PM,2/2/2022 6:03:35 PM,PJM,702.690000
2/2/2022 11:03:50 PM,2/2/2022 6:03:50 PM,PJM,747.690000
2/2/2022 11:04:05 PM,2/2/2022 6:04:05 PM,PJM,905.280000
2/2/2022 11:04:20 PM,2/2/2022 6:04:20 PM,PJM,993.750000
2/2/2022 11:04:35 PM,2/2/2022 6:04:35 PM,PJM,1042.260000
2/2/2022 11:04:50 PM,2/2/2022 6:04:50 PM,PJM,1068.410000
2/2/2022 11:05:05 PM,2/2/2022 6:05:05 PM,PJM,1051.290000
2/2/2022 11:05:20 PM,2/2/2022 6:05:20 PM,PJM,1051.800000
2/2/2022 11:05:35 PM,2/2/2022 6:05:35 PM,PJM,1013.830000
2/2/2022 11:05:50 PM,2/2/2022 6:05:50 PM,PJM,888.530000
2/2/2022 11:06:05 PM,2/2/2022 6:06:05 PM,PJM,858.400000
2/2/2022 11:06:20 PM,2/2/2022 6:06:20 PM,PJM,787.770000
2/2/2022 11:06:35 PM,2/2/2022 6:06:35 PM,PJM,766.660000
2/2/2022 11:06:50 PM,2/2/2022 6:06:50 PM,PJM,808.230000
2/2/2022 11:07:05 PM,2/2/2022 6:07:05 PM,PJM,787.920000
2/2/2022 11:07:20 PM,2/2/2022 6:07:20 PM,PJM,768.730000
2/2/2022 11:07:35 PM,2/2/2022 6:07:35 PM,PJM,813.900000
2/2/2022 11:07:50 PM,2/2/2022 6:07:50 PM,PJM,819.300000
2/2/2022 11:08:05 PM,2/2/2022 6:08:05 PM,PJM,867.830000
2/2/2022 11:08:20 PM,2/2/2022 6:08:20 PM,PJM,985.190000
2/2/2022 11:08:35 PM,2/2/2022 6:08:35 PM,PJM,911.800000
2/2/2022 11:08:50 PM,2/2/2022 6:08:50 PM,PJM,870.510000
2/2/2022 11:09:05 PM,2/2/2022 6:09:05 PM,PJM,851.850000
2/2/2022 11:09:20 PM,2/2/2022 6:09:20 PM,PJM,804.320000
2/2/2022 11:09:35 PM,2/2/2022 6:09:35 PM,PJM,718.060000
2/2/2022 11:09:50 PM,2/2/2022 6:09:50 PM,PJM,631.200000
2/2/2022 11:10:05 PM,2/2/2022 6:10:05 PM,PJM,576.890000
2/2/2022 11:10:20 PM,2/2/2022 6:10:20 PM,PJM,490.520000
2/2/2022 11:10:35 PM,2/2/2022 6:10:35 PM,PJM,333.940000
2/2/2022 11:10:50 PM,2/2/2022 6:10:50 PM,PJM,257.630000
