datetime_beginning_utc,datetime_beginning_ept,area,instantaneous_load
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,PJM RTO,100947.200000
2/4/2022 2:55:00 PM,2/4/2022 9:55:00 AM,PJM RTO,100927.500000
2/4/2022 2:50:00 PM,2/4/2022 9:50:00 AM,PJM RTO,100993.100000
2/4/2022 2:45:00 PM,2/4/2022 9:45:00 AM,PJM RTO,100861.700000
2/4/2022 2:40:00 PM,2/4/2022 9:40:00 AM,PJM RTO,100847.700000
2/4/2022 2:35:00 PM,2/4/2022 9:35:00 AM,PJM RTO,100923.200000
2/4/2022 2:30:00 PM,2/4/2022 9:30:00 AM,PJM RTO,100614.000000
2/4/2022 2:25:00 PM,2/4/2022 9:25:00 AM,PJM RTO,100616.200000
2/4/2022 2:20:00 PM,2/4/2022 9:20:00 AM,PJM RTO,100262.400000
2/4/2022 2:15:00 PM,2/4/2022 9:15:00 AM,PJM RTO,100095.200000
2/4/2022 2:10:00 PM,2/4/2022 9:10:00 AM,PJM RTO,99725.000000
2/4/2022 2:05:00 PM,2/4/2022 9:05:00 AM,PJM RTO,99763.100000
2/4/2022 2:00:00 PM,2/4/2022 9:00:00 AM,PJM RTO,99504.200000
2/4/2022 1:55:00 PM,2/4/2022 8:55:00 AM,PJM RTO,99445.600000
2/4/2022 1:50:00 PM,2/4/2022 8:50:00 AM,PJM RTO,99392.500000
2/4/2022 1:45:00 PM,2/4/2022 8:45:00 AM,PJM RTO,99348.200000
2/4/2022 1:40:00 PM,2/4/2022 8:40:00 AM,PJM RTO,99202.900000
2/4/2022 1:35:00 PM,2/4/2022 8:35:00 AM,PJM RTO,98925.600000
2/4/2022 1:30:00 PM,2/4/2022 8:30:00 AM,PJM RTO,98906.200000
2/4/2022 1:25:00 PM,2/4/2022 8:25:00 AM,PJM RTO,98858.000000
2/4/2022 1:20:00 PM,2/4/2022 8:20:00 AM,PJM RTO,98518.000000
2/4/2022 1:10:00 PM,2/4/2022 8:10:00 AM,PJM RTO,98127.400000
2/4/2022 1:05:00 PM,2/4/2022 8:05:00 AM,PJM RTO,97589.100000
2/4/2022 1:00:00 PM,2/4/2022 8:00:00 AM,PJM RTO,97526.300000
2/4/2022 12:55:00 PM,2/4/2022 7:55:00 AM,PJM RTO,97590.100000
2/4/2022 12:50:00 PM,2/4/2022 7:50:00 AM,PJM RTO,97241.600000
2/4/2022 12:45:00 PM,2/4/2022 7:45:00 AM,PJM RTO,97290.100000
2/4/2022 12:40:00 PM,2/4/2022 7:40:00 AM,PJM RTO,96982.500000
2/4/2022 12:35:00 PM,2/4/2022 7:35:00 AM,PJM RTO,96427.400000
2/4/2022 12:30:00 PM,2/4/2022 7:30:00 AM,PJM RTO,96060.600000
2/4/2022 12:25:00 PM,2/4/2022 7:25:00 AM,PJM RTO,96098.400000
2/4/2022 12:20:00 PM,2/4/2022 7:20:00 AM,PJM RTO,95705.800000
2/4/2022 12:15:00 PM,2/4/2022 7:15:00 AM,PJM RTO,95201.500000
2/4/2022 12:10:00 PM,2/4/2022 7:10:00 AM,PJM RTO,94835.600000
2/4/2022 12:05:00 PM,2/4/2022 7:05:00 AM,PJM RTO,93877.400000
2/4/2022 12:00:00 PM,2/4/2022 7:00:00 AM,PJM RTO,93493.900000
2/4/2022 11:55:00 AM,2/4/2022 6:55:00 AM,PJM RTO,93263.100000
2/4/2022 11:50:00 AM,2/4/2022 6:50:00 AM,PJM RTO,93066.600000
2/4/2022 11:45:00 AM,2/4/2022 6:45:00 AM,PJM RTO,92713.500000
2/4/2022 11:40:00 AM,2/4/2022 6:40:00 AM,PJM RTO,92138.700000
2/4/2022 11:35:00 AM,2/4/2022 6:35:00 AM,PJM RTO,91350.000000
2/4/2022 11:30:00 AM,2/4/2022 6:30:00 AM,PJM RTO,91054.400000
2/4/2022 11:25:00 AM,2/4/2022 6:25:00 AM,PJM RTO,91036.400000
2/4/2022 11:20:00 AM,2/4/2022 6:20:00 AM,PJM RTO,90451.700000
2/4/2022 11:15:00 AM,2/4/2022 6:15:00 AM,PJM RTO,90046.200000
2/4/2022 11:10:00 AM,2/4/2022 6:10:00 AM,PJM RTO,88247.000000
2/4/2022 11:05:00 AM,2/4/2022 6:05:00 AM,PJM RTO,88247.000000
2/4/2022 11:00:00 AM,2/4/2022 6:00:00 AM,PJM RTO,88069.900000
2/4/2022 10:55:00 AM,2/4/2022 5:55:00 AM,PJM RTO,87362.700000
2/4/2022 10:50:00 AM,2/4/2022 5:50:00 AM,PJM RTO,87009.200000
