evaluated_at_utc,evaluated_at_ept,forecast_datetime_beginning_utc,forecast_datetime_beginning_ept,forecast_datetime_ending_utc,forecast_datetime_ending_ept,forecast_area,forecast_load_mw
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:05:00 PM,2/4/2022 10:05:00 AM,RTO_COMBINED,101601.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:05:00 PM,2/4/2022 10:05:00 AM,2/4/2022 3:10:00 PM,2/4/2022 10:10:00 AM,RTO_COMBINED,101591.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:10:00 PM,2/4/2022 10:10:00 AM,2/4/2022 3:15:00 PM,2/4/2022 10:15:00 AM,RTO_COMBINED,101578.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:15:00 PM,2/4/2022 10:15:00 AM,2/4/2022 3:20:00 PM,2/4/2022 10:20:00 AM,RTO_COMBINED,101559.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:20:00 PM,2/4/2022 10:20:00 AM,2/4/2022 3:25:00 PM,2/4/2022 10:25:00 AM,RTO_COMBINED,101536.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:25:00 PM,2/4/2022 10:25:00 AM,2/4/2022 3:30:00 PM,2/4/2022 10:30:00 AM,RTO_COMBINED,101505.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:30:00 PM,2/4/2022 10:30:00 AM,2/4/2022 3:35:00 PM,2/4/2022 10:35:00 AM,RTO_COMBINED,101473.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:35:00 PM,2/4/2022 10:35:00 AM,2/4/2022 3:40:00 PM,2/4/2022 10:40:00 AM,RTO_COMBINED,101432.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:40:00 PM,2/4/2022 10:40:00 AM,2/4/2022 3:45:00 PM,2/4/2022 10:45:00 AM,RTO_COMBINED,101388.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:45:00 PM,2/4/2022 10:45:00 AM,2/4/2022 3:50:00 PM,2/4/2022 10:50:00 AM,RTO_COMBINED,101341.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:50:00 PM,2/4/2022 10:50:00 AM,2/4/2022 3:55:00 PM,2/4/2022 10:55:00 AM,RTO_COMBINED,101285.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 3:55:00 PM,2/4/2022 10:55:00 AM,2/4/2022 4:00:00 PM,2/4/2022 11:00:00 AM,RTO_COMBINED,101228.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 4:00:00 PM,2/4/2022 11:00:00 AM,2/4/2022 4:05:00 PM,2/4/2022 11:05:00 AM,RTO_COMBINED,101169.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 4:05:00 PM,2/4/2022 11:05:00 AM,2/4/2022 4:10:00 PM,2/4/2022 11:10:00 AM,RTO_COMBINED,101104.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 4:10:00 PM,2/4/2022 11:10:00 AM,2/4/2022 4:15:00 PM,2/4/2022 11:15:00 AM,RTO_COMBINED,101038.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 4:15:00 PM,2/4/2022 11:15:00 AM,2/4/2022 4:20:00 PM,2/4/2022 11:20:00 AM,RTO_COMBINED,100969.000000
2/4/2022 3:00:00 PM,2/4/2022 10:00:00 AM,2/4/2022 4:20:00 PM,2/4/2022 11:20:00 AM,2/4/2022 4:25:00 PM,2/4/2022 11:25:00 AM,RTO_COMBINED,100898.000000
